"image_name","angle","y1","x1","y2","x2","damage_type"
"20190524_005_08.jpg","f","1962","996","2414","1479","dent"
"test","d","","","2775","1827","dent"
"20190524_005_08.jpg","f","2305","1279","2775","1827","dent"
"20190524_005_08.jpg","f","2305","1279","2775","1827","dent"
"20190524_005_08.jpg","f","2305","1279","2775","1827","dent"
"20190524_005_08.jpg","f","2305","1279","2775","1827","dent"
"20190524_005_08.jpg","f","2810","1622","3297","2066","dent"
"20190524_050_09.jpg","f","875","966","2275","1787","scratch"
"20190524_050_09.jpg","f","2175","1035","3388","1392","scratch"
"20190524_078_08.jpg","f","436","1270","1205","1427","scratch"
"20190524_078_08.jpg","f","962","987","1888","1292","scratch"
"20190524_078_08.jpg","f","1010","761","1519","948","scratch"
"20190524_078_08.jpg","f","2288","840","3210","1044","scratch"
"20190524_078_08.jpg","f","3032","944","3966","1231","scratch"
"20190524_078_08.jpg","f","1279","1301","2158","1479","scratch"
"20190524_078_08.jpg","f","2184","1140","2423","1353","scratch"
"20190524_078_08.jpg","f","3123","1231","3910","1514","scratch"
"20190524_078_08.jpg","f","1788","1561","2614","2114","scratch"
"20190524_078_08.jpg","f","3349","1739","3671","2039","scratch"
"20190524_090_07.jpg","f","292","748","801","1166","scratch"
"20190524_090_07.jpg","f","658","1087","1279","1418","scratch"
"20190524_090_07.jpg","f","453","1505","1271","1683","scratch"
"20190524_090_07.jpg","f","1010","1357","2171","1635","scratch"
"20190524_090_07.jpg","f","2097","1301","3301","1614","scratch"
"20190524_090_07.jpg","f","3223","1096","3836","1396","scratch"
"20190524_033_09.jpg","f","1358","1192","2901","1714","scratch"
"20190524_066_08.jpg","f","679","1061","1836","1244","scratch"
"20190524_066_08.jpg","f","1719","1144","2714","1227","scratch"
"20190524_117_08.jpg","f","1171","305","1775","835","scratch"
"20190524_117_08.jpg","f","1062","1253","1392","1657","scratch"
"20190524_117_08.jpg","f","2158","1244","2332","1401","scratch"
"20190524_117_08.jpg","f","2579","1570","2779","1748","scratch"
"20190524_117_08.jpg","f","1845","1635","2458","2222","scratch"
"20190524_117_08.jpg","f","2514","2014","2658","2140","scratch"
"20190524_117_08.jpg","f","2923","1927","3219","2244","scratch"
"20190524_017_08.jpg","f","1814","1070","2188","1357","scratch"
"20190524_063_10.jpg","f","1219","561","1784","805","scratch"
"20190524_063_10.jpg","f","1727","696","2301","1231","scratch"
"20190524_063_10.jpg","f","1988","979","2297","1370","scratch"
"20190524_082_07.jpg","f","1232","1027","3053","1418","scratch"
"20190524_109_08.jpg","f","579","1057","1714","1292","paint"
"20190524_109_08.jpg","f","1458","1001","2810","1357","paint"
"20190524_109_08.jpg","f","2545","966","3866","1374","paint"
"20190524_109_08.jpg","f","871","1122","2292","1231","scratch"
"20190524_109_08.jpg","f","2088","1040","3305","1253","scratch"
"20190524_109_08.jpg","f","3123","1048","3845","1244","scratch"
"20190524_009_08.jpg","f","379","179","3332","1561","paint"
"20190524_009_08.jpg","f","249","1474","3197","2779","paint"
"20190524_009_08.jpg","f","514","2705","1597","3070","paint"
"20190524_009_08.jpg","f","1492","2505","2649","3026","paint"
"20190524_121_09.jpg","f","758","1396","1597","1835","rust"
"20190524_121_09.jpg","f","1532","1227","2553","1540","rust"
"20190524_121_09.jpg","f","2419","866","3149","1418","rust"
"20190524_121_09.jpg","f","2940","753","3675","1179","rust"
"20190524_074_08.jpg","f","1384","996","2410","1414","scratch"
"20190524_074_08.jpg","f","2092","1183","3358","1679","scratch"
"20190524_074_09.jpg","f","2149","1427","2514","1814","dent"
"20190524_121_08.jpg","f","2036","240","2192","1005","scratch"
"20190524_121_08.jpg","f","2053","996","2192","1718","scratch"
"20190524_121_08.jpg","f","2132","1618","2275","2287","scratch"
"20190524_009_09.jpg","f","1501","509","2875","2127","paint"
"20190524_009_09.jpg","f","2040","2001","2856","3120","paint"
"20190524_036_10.jpg","f","1471","1087","1997","1644","dent"
"20190524_036_10.jpg","f","2697","1366","3049","1870","dent"
"20190524_042_08.jpg","f","905","879","1684","1470","dent"
"20190524_042_08.jpg","f","775","1283","1914","1866","paint"
"20190524_042_08.jpg","f","1553","1009","3505","1579","paint"
"20190524_017_09.jpg","f","1019","1287","2236","1614","scratch"
"20190524_017_09.jpg","f","1958","1214","3592","1644","scratch"
"20190524_117_09.jpg","f","1371","848","1679","1014","scratch"
"20190524_117_09.jpg","f","1910","870","2675","1227","scratch"
"20190524_133_08.jpg","f","1184","1244","2375","1479","scratch"
"20190524_133_08.jpg","f","2175","1327","3427","1601","scratch"
"20190524_050_08.jpg","f","601","1040","949","2440","scratch"
"20190524_050_08.jpg","f","858","1818","1292","2035","scratch"
"20190524_050_08.jpg","f","775","948","2210","1322","scratch"
"20190524_050_08.jpg","f","1936","861","2779","1196","scratch"
"20190524_050_08.jpg","f","2662","766","3449","1205","scratch"
"20190524_050_08.jpg","f","3249","696","3697","1083","scratch"
"20190524_050_08.jpg","f","2558","1196","2897","1492","scratch"
"20190524_050_08.jpg","f","2449","1501","2688","2083","scratch"
"20190524_050_08.jpg","f","2323","2192","2584","2535","scratch"
"20190524_005_09.jpg","f","1572","2206","2207","2641","scratch"
"20190524_005_09.jpg","f","2084","400","2378","765","scratch"
"20190524_087_08.jpg","f","2045","718","2919","2783","scratch"
"20190524_071_07.jpg","f","2705","383","3084","727","rust"
"20190524_071_07.jpg","f","1658","1148","2001","1279","rust"
"20190524_071_07.jpg","f","1536","1683","1641","1853","rust"
"20190524_071_07.jpg","f","1123","1983","1245","2083","rust"
"20190524_071_07.jpg","f","1519","1657","1901","2101","rust"
"20190524_071_07.jpg","f","2066","1036","2535","1544","rust"
"20190524_071_07.jpg","f","1913","1592","2248","2113","rust"
"20190524_071_07.jpg","f","2279","1722","2427","1822","rust"
"20190524_071_07.jpg","f","2366","1731","2549","1974","rust"
"20190524_071_07.jpg","f","1832","148","2692","405","scratch"
